GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
Raise waterfront trees,"Transplant waterfront trees and/or replace with salt-tolerant species. When transplanting or adding new vegetation, plant above anticipated storm surge line.",ACCLIMATE (intrinsic),"Tidal Flooding, Inundation, Coastal erosion",,,SE - Coastal,,"vegetation, Spatial patterns + views",,,,"Assess tree health and likelihood to survive transplanting. If tree is in poor health, it may be more feasible to plant salt-tolerant species at a higher elevation.",,This depends on future storms and weather trends. ,Ensure any replacement trees have consistenct design characteristics to previous trees if previous trees were contributing features.,"Consider if trees to be replanted/replaced are contributing specimen or if the presence of a tree in that location is what is important for integrity. This will influence if a tree is left in place, transplanted, or replaced.",,,,,2023 Climate Positive Design Carbon Drawdown Toolkit,,14
Reduce surface damage to collections installed outside,conduct regular inspections and maintenance of applied coatings,TEND / TELL (aphysical),Intensified Wind,,"Erosion, Deterioration","SE - Coastal, SE - Inland",,,"Exhibited, Oversized",,MED to HIGH,,,,,,,,,,,,
Restore riparian areas,"Restore native riparian landscapes, in collaboration with native communities, to remove invasive species, restore soil health and river flow, reduce erosion, and restore cultural connections.",ACCLIMATE (intrinsic),"Biological community changes, Increased average temperature, Flooding (precipitation)","Increased average temperature, Flash Flooding, Drought, Biological community changes",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"ecological and natural systems, vegetation, land use",,,MED to HIGH,Riparian restoration utilizing native vegetation has proven highly effective with relatively low cost inputs.,MID to LONG,Depends on timing and intensity of storm events.,"Work with associated tribal groups, municipalities, and neighbors to ensure community adoption of the project. Utilize native plant species and bioengineering best practices for slope stabilization.","If the landscape is historically significant to certain groups, ensure they are integrated with the project from the start to protect significant resources and ensure appropriate designs are utilized.",Tribal involvement was critical to this case study success.,"Yuma East Wetlands, AZ",MAX,This project is 14 years old in 2025 and the riparian community is thriving. The site now supplies plant material and seeds for other nearby restoration efforts.,2024 WORKS with Nature: Low Carbon Adaptation Techniques for a Changing World,,136
Use of native ground covers,Replace turf with native/salt-tolerant plants that require less water and provide soil stabilization,PROTECT (extrinsic),"Flooding (precipitation), Increased average temperature, Biological community changes, Coastal erosion",,,SE - Coastal,,vegetation,,,HIGH,,MID,,"Clemson HGIC, Carolina Native Plant Society",Maintain historically compatible landscape character,,"Charleston, SC",AVE,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,R2.10
Protect collections from particulates and gaseous pollutants,"Inspect buildings for air leakage, conduct sealing/weatherization and repairs; increase inspection and maintenance frequency; establish protocols to ensure that air intakes are closed when fire is detected to prevent smoke from entering collections buildings",TEND / TELL (aphysical),Increased Wildfire,,Deterioration,"SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,MED to HIGH,assumes that building housing collections has a mechanical system; ,,,,,,,,,,,
Protect collections from particulates and gaseous pollutants,"Inspect buildings for air leakage, conduct sealing/weatherization and repairs; establish protocols to ensure that air intakes are closed ",TEND / TELL (aphysical),,"Drought, Increased Wildfire","Erosion, Deterioration, Dessication","SW - Desert, SW - Mountain",,,"Stored, Exhibited, Records",,MED to HIGH,,,,,,,,,,,,
Removal of auxilary elements,Utilize a crane to remove floating objects that accumulate near structure that can cause an increase in water pressure,PROTECT (extrinsic),"Increased Storm Surge frequency & severity, Tidal Flooding",,Destruction,SE - Coastal,,,,,,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,95
Living Shorelines (NBS),Developing vegetated buffers along coastlines,PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Biological community changes",,,SE - Coastal,Subsurface,,,,HIGH,"Many successful project examples, permitting is becoming more supportive but still has a way to go. Can leverage for credits ($$)",MID,Longevity can dependent on the design elevations relative to SLR projections,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],NNBF International Guidelines on Natural and Nature-Based Features for Flood Risk Management,
Urban forests - NNBS,"conserve existing forests, reforest and manage existing forest areas, plant new forest areas",ACCLIMATE (intrinsic),"Flooding (precipitation), Biologicatl community changes",, ,"SE - Coastal, SE - Inland",,,,, ,,, , ,, , ,, ,A Catalogue of Nature-Based Solutions for Urban Resilience,https://openknowledge.worldbank.org/entities/publication/c33e226c-2fbb-5e11-8c21-7b711ecbc725,42-55
Roof Maintenance,"Increase gutter size, increase pipe size, increase roof overhang size",ACCLIMATE (intrinsic),Flooding (precipitation),,,"SE - Coastal, SE - Inland",,,,,,,,,,,,"Threave House, Scotland (on Miro)",,,"2020 Adaptation Stories: Examples of risk assessment, adaptation planning and conservation management of northern historic places",,19
Regulatory tools that help communities adapt to sea level rise.,Regulatory changes to adapt to sea level rise and land-use changes will be unique to each communities socioeconomic and political contexts. This Tool Kit describes 18 different regulatory land-use tools that can be used to preemptively respond to the threats posed by SLR (see Table 1).,TEND / TELL (aphysical),Coastal erosion,,,,,,,,MED,,MID to LONG,,,,,,,,Adaptation Tool Kit: Sea-Level Rise and Coastal Land Use,https://www.georgetownclimate.org/reports/adaptation-tool-kit-sea-level-rise-and-coastal-land-use.html,
Protect most scientifically important or historically unique collections,provide segregated storage of type (voucher) specimens in geographic areas out of risk zones; with appropriate environmental controls; inside of tight cabinets and housings,DISLOCATE (move),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Biological community changes, Increased Wildfire",,"Deterioration, Destruction, Dissruption","SE - Coastal, SE - Inland",,,"Stored, Type/Voucher Specimens, Records",,LOW to MED,,,,,,,,,,,,
Care for cultural sites after a severe disturbance,Evaluate and restore eroded or damaged areas after a flood,ACCLIMATE (intrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Coastal erosion",,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,,,,,,,,,,,,,,32
Maintain and revitalize cultural approaches to harvesting and caretaking,Teach harvesting in a good way such as taking only what you need and leaving enough to sustain a population.,TEND / TELL (aphysical),"Biological community changes, Increased average temperature",,,,,,,,,,,,,,,,,,2019 Dibaginjigaadeg Anishinaabe Ezhitwaad: A Tribal Climate Adaptation Menu,,29
Dune Restoration (NBS),,PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Biological community changes",,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
"Construct a marsh, including fill and plantings but without structural elements, in the intertidal zone of a shoreline",,PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,"The Teaching Marsh at Virginia Institute of Marine Science, Gloucester Point, VA",AVE,Detailed info on success of various elements of the design in factsheet,2019 Nature-based Solutions for Coastal Highways Resilience,,13-14
Marsh breakwater,,PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,"Project GreenShores, Pensacola, FL",,,2019 Nature-based Solutions for Coastal Highways Resilience,,15-16
Marsh sill,,PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,2019 Nature-based Solutions for Coastal Highways Resilience,,17-18
Beach nourishment,,PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,2019 Nature-based Solutions for Coastal Highways Resilience,,19-20
Constructed Breakwater Islands (NBS),,,"Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Floating Islands (NBS),,,"Biological community changes, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Beneficial Dredge Reuse (NBS),,,Coastal erosion,,,SE - Coastal,,,,,,,,,Dredging can be disruptive to the sea floor,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Surge Barrier (Structure),,,Increased Storm Surge frequency & severity,,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Breakwater (Structure),,,Increased Storm Surge frequency & severity,,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Bulkheads (Structure),,,Increased Storm Surge frequency & severity,,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Groins (Structure),,,Increased Storm Surge frequency & severity,,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Polders,,,,,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Pocket beach,,PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,2019 Nature-based Solutions for Coastal Highways Resilience,,21-22
Strategic Retreats,,,,,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Waterfront Parks (NBS),,,Coastal erosion,,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
,Reinforce roofs,,Intensified Wind,,Destruction,SE - Coastal,,,,building,LOW to MED,,LONG,,Comply with 150 mph wind design; coordinate with BAR for modification,,,"Charleston, SC",,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,R1.8
,Secure shutters and barriers,,Intensified Wind,,Destruction,SE - Coastal,,,,building,,,,,Comply with 150 mph wind design; coordinate with BAR for modification,,,"Charleston, SC",,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,R1.8
Dune restoration,,PROTECT (extrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,2019 Nature-based Solutions for Coastal Highways Resilience,,23-24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Wetting subsoil,,,"Drought, Landslides",,"SW - Desert, SW - Mountain","Surface, Subsurface",,,"(immediate) site, building",,,,,,ensure wetting does not damage subsurface material,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,96
Geotechnical measures of slope and rock stabilisation,"Dowelling, nailing of slope, piles and pile walls, retaining walls and surface reinforcement",,Coastal erosion,"Drought, Landslides",,SW - Mountain,"Surface, Subsurface",,,building,,,,,,Drought and changes in water table levels generally cause heavy damage to buildings due to subsidence on clay soils as well as to metal and organic deposits on archaeological sites,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,96
Surface drainage,Anything to prevent water from ponding on the surface and directing water flow away from the slide area. Reduces ground water levels and pore pressure within the slide mass,,,Landslides,,,,,,,,,,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,95
Constructed Wetlands (NBS),Developing vegetated buffers along waterways (coastal & inland),PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Biological community changes",,,"SE - Coastal, SE - Inland",,,,,HIGH,"Many successful project examples, permitting is becoming more supportive but still has a way to go. Can leverage for credits ($$)",MID,Longevity can dependent on the design elevations relative to SLR projections,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
,,,,,,,,,,,,,,,,,,,,,,,
Beach Nourishment (NBS),Reestablishing/enhancing protective dune systems along coasts and replenishing sand buffer/beach in front of dune lines. ,PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Biological community changes",,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Alter community structure or composition to reduce risk or severity of major disturbances,Establish fuel breaks to slow the spread of catastrophic fire,,"Increased Wildfire, Biological community changes",,,,,,,,,,,,,,,,,,,,
Alter community structure or composition to reduce risk or severity of major disturbances,Use prescribed fire treatments or other means to reduce fuel loading,,Increased Wildfire,,,,,,,,,,,,,,,,,,,,
Alter community structure or composition to reduce risk or severity of major disturbances,Use defensible space in planning around high priority areas to reduce risk or loss or damage from wildfire,,Increased Wildfire,,,,,,,,,,,,,,,,,,,,31-32
Alter community structure or composition to reduce risk or severity of major disturbances,Alter forest community structure to reduce severity or extent of wind and ice damage,,"Intensified Wind, Increased Storm Surge frequency & severity",,,,,,,,,,,,,,,,,,,,31-32
Care for cultural sites after a severe disturbance,"Survey cultural site locations ahead of time so when a disturbance occurs it is easier to act, but be mindful about how this information is stored and shared",TEND / TELL (aphysical),"Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion, Increased Wildfire, Biological community changes",,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,,,,,,,,,,,,,,32
Alter community structure or composition to reduce risk or severity of major disturbances,Promote fire adapted beings in areas with a high risk of wildfire,,"Increased Wildfire, Biological community changes",,,,,,,,,,,,,,,,,,,,31-32
,,,,,,,,,,,,,,,,,,,,,,,
,"Install artificial snowmaking or strategically 
placed snow fencing",,,Reduced Snowpack,,SW - Mountain,,,,,,,,,,,,,,,2021 NPS Planning for Climate Change,,43
,Cover areas of trail overnight during warm spells to limit melting,,,Reduced Snowpack,,SW - Mountain,,,,,,,,,,,,,,,2021 NPS Planning for Climate Change,,43
,,,,,,,,,,,,,,,,,,,,,,,
Pavement relectiveness,"Use high albedo paving materials to reflect solar heat and reduce ground surface temperature. Use chip seals, whitetopping, ultra-thin whitetopping, and microsurfacing to increase pavement reflectivity",,Increased average temperature,Increased average temperature,,"SE - Coastal, SW - Desert, SW - Mountain",,built features,,larger site,HIGH,,MID,Surfacing requires periodic reapplication. Lifespan of resurfaced materials varies,"Cool Pavements Compendium, P. 121",Match original material as closely as possible; retain historic appearance as much as possible. Weight change of appearance with benefit of heat reduction.,,,MAX,Documented surface temperature reductions,2013 Building Resilience in Boston,,"41., 42"
Alter community structure or composition to reduce risk or severity of major disturbances,Include buffer zones around sensitive communities to prevent effects of disturbance,,"Flooding (precipitation), Intensified Wind, Tidal Flooding, Increased Storm Surge frequency & severity",,,,,,,,,,,,,,,,,,,,31-32
Shade electrical equipment,"Shade air conditioner condenser units and other building equipment with trees, vines, shrubbery, or other built structure",,"Increased average temperature, Higher relative humidity","Increased average temperature, Drought",,"SE - Coastal, SW - Desert",,,,"operations + occupancy, assembly",HIGH,,LONG,,Ensure fire code compliance. ,,,,MAX,Depends on method of implementation. Greatly reduces energy pull and can increase effectiveness of existing MEP systems.,2013 Building Resilience in Boston,,49
,Create/expand defensible zone around building,,"Increased Wildfire, Increased average temperature","Increased Wildfire, Increased average temperature, Drought",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"building, larger site",,,,,,,,,,,2021 NPS Planning for Climate Change,,41
Levees (Structure),,,"Inundation, Tidal Flooding, Increased Storm Surge frequency & severity",,,SE - Coastal,,,,,,,,,,,,,,,NNBF International Guideliens on Nature-Based Features for Flood Risk Management (2021) [Urban Waterfront Adaptive Strategies NYC (2013); Nature-based Solutions for Coastal Highway Resilience (2019)],,
Install barriers to restrict/minimize/control  floodwater intrusion (flow control and armoring),"install/build tidal control gates, floodwalls or stem walls, landscape berms and buffers, physical levees/bulkheads/revetments/impoundments",PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity",,"Submersion, Erosion, Inundation, Saturation, Oxidation, Dissolution, Destruction, Dissruption",SE - Coastal,,,,,,,,,,,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,74-75
"Install systems to receive and collect (detention), and gradually absorb (retention) or carry away (convey) floodwaters - flow control","install/build tidal stormwater ponds and retention/detention basins/reservoirs, nature based living shorelines/wetlands/bioretention, mechanical pump systems, large drainage infrastructure via culverts/pipes/vaults",PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity",,"Submersion, Erosion, Inundation, Saturation, Dissolution, Destruction, Oxidation, Dissruption",SE - Coastal,,,,,,,,,"integrate retention and biofiltration into landscape design (planters, borders, canals)",,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,74-75
Install systems to slow wave energy and storm surge impacts,"provide sill or floating breakwaters or reefs in the water, near the coastline; provide texture or profiled surfaces to sea walls/bulkheads",PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity, Coastal erosion",,"Erosion, Destruction, Saturation, Dissruption, Inundation, Deterioration",SE - Coastal,,,,,,,,,,,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,74-75
Stabilize shorelines through materials and assemblies,"Install geotextiles, replacement sand, vegetaion (Soft) and/or sloped stone boulders/riprap/reinforced concrete or vertical conc/metal/wood structures (hard)",PROTECT (extrinsic),"Coastal erosion, Increased Storm Surge frequency & severity, Tidal Flooding, Intensified Wind, Biological community changes",,"Erosion, Destruction",SE - Coastal,,,,,,,,,can create maladaptations such as disrupting natural habitat migration or sediment flow patterns ,,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,114-117
Reduce current velocity at boundary and improve wave attenuation,Seagrass beds,PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,2013_Coastal Risk Reduction and Resilience: Using the Full Array of Measures,,A-1
Provide means for shoreline structures to float (buoyancy),Floating Docks/Buildings,ACCLIMATE (intrinsic),"Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,"Submersion, Inundation, Erosion, Destruction",SE - Coastal,,,,,,,,,Tether to an anchor structure,,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,118
Use corrosion resistant materials or coatings,"Non-corrosive metals, protective marine-grade coatings for metal base materials, stainless steel or fiber based concrete reinforcment materials ",ACCLIMATE (intrinsic),"Higher relative humidity, Tidal Flooding, Inundation",,"Oxidation, Deterioration",SE - Coastal,,,,,,,,,,,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,148-149
NBD to Improve wave attenuation and/or dissipation and sediment retention,Coral Reefs,PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,2013_Coastal Risk Reduction and Resilience: Using the Full Array of Measures,,A-1
NBD to improve wave attenuation and/or dissipation and sediment retention,Oyster Reefs,PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,2013_Coastal Risk Reduction and Resilience: Using the Full Array of Measures,,A-1
NBD to Improve wave attenuation and/or dissipation and stabilize sediment stabilization,Salt Marshes,PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,2013_Coastal Risk Reduction and Resilience: Using the Full Array of Measures,,A-2
NBD to improve wave attenuation and/or dissipation and stabilize sediment stabilization,Barrier Islands,PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,,,
"NBD to improve wave attenuation and/or dissipation, regulate shoreline erosion, retain soil via vegetation’s root structures",Maritime Forest,PROTECT (extrinsic),"Tidal Flooding, Inundation, Increased Storm Surge frequency & severity, Coastal erosion",,,SE - Coastal,,,,,,,,,,,,,,,,,
Incorporate flexibility into the built structure to make temporary or long term changes more feasible,"Utilize modular construction, movable elements and assemblies",ACCLIMATE (intrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation","Flash Flooding, Landslides","Inundation, Saturation, Dissruption, Deterioration, Dissolution",SE - Coastal,,,,,,,,,,,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,148
Protect resources by elevating above / accommodating flood levels,Increase floor to ceiling height of ground floor to protect upper floor,ACCLIMATE (intrinsic),,Flash Flooding,"Inundation, Saturation, Deterioration, Destruction",SE - Coastal,,,,,,,,,,,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,150
Wet Floodproofing to provide designated/controlled pathway for floodwaters,Incorporate breakaway walls,ACCLIMATE (intrinsic),,Flash Flooding,"Destruction, Saturation, Dissruption, Deterioration",SE - Coastal,,,,,,,,,,,,,,,2024_Salty Urbanism ,Vulnerability_and_Adaptation,150
Provide self-sufficient power for building systems to avoid outages,Incorporate renewable energy or battery storage into buildings,ACCLIMATE (intrinsic),"Intensified Wind, Increased Storm Surge frequency & severity, Inundation, Increased Wildfire, Increased average temperature","Landslides, Increased average temperature, Flash Flooding, Drought, Increased Wildfire",,"SW - Mountain, SW - Desert, SE - Coastal, SE - Inland",,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),Examples – Tribal Resilience Action Database,
Have materials in stock on site for temporary protection,Sandbags,PROTECT (extrinsic),,,,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
"Weatherization to limit water and air infiltration, and control interior environment conditions",Seal around openings ,ACCLIMATE (intrinsic),,,,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
,"Install absorptive vegetation, landscaping, and hardscaping",PROTECT (extrinsic),,,,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
,Heavier roofing and tighter connections,ACCLIMATE (intrinsic),Intensified Wind,,,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
Provide fire extinguishing systems for outdoor areas,Exterior fire suppression and hose systems,ACCLIMATE (intrinsic),Increased Wildfire,Increased Wildfire,"Dessication, Destruction, Conflagration",,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
,"Regular inspection, maintenance, and detection systems; O&M Plans; Emergency/Disaster Plans",TEND / TELL (aphysical),,,,,,,,,,,,,,,Incorporate traditional knowledges and practices,,,,Tribal Resilience Action Database (TRAD),,
,Consider alternate replacement/repair materials if original building materials are scarce and to be preserved at their source,ACCLIMATE (intrinsic),,,Depletion,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
Maintain water levels to maintain habitats,,ACCLIMATE (intrinsic),Biological community changes,Biological community changes,"Dissruption, Depletion",,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
"Minimize hardscape construction, exterior light levels and noise to limit habitat disturbance",,PROTECT (extrinsic),Biological community changes,Biological community changes,"Dissruption, Depletion",,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
Limit distrubance of critical natural habitats by human activity,"Establish buffers around, limit human occupancy",TEND / TELL (aphysical),Biological community changes,Biological community changes,"Dissruption, Depletion",,,,,,,,,,"may be more critical during/only need to be seasonal during breeding, nesting, and hatching periods in some contexts",,,,,,Tribal Resilience Action Database (TRAD),,
Restore natural water flows and levels,Remove dams,PROTECT (extrinsic),Biological community changes,Biological community changes,"Dissruption, Depletion, Submersion",SE - Inland,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
Limit extreme physical pressures on unstable or wet soils,Relocate roads away from inland waterlines and floodplains,PROTECT (extrinsic),,Landslides,"Deterioration, Erosion",,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
Maintain tidal habitats,Sediment input along shoreline,ACCLIMATE (intrinsic),"Biological community changes, Coastal erosion",,"Erosion, Depletion",,,,,,,,,,some instances could be reverse (dredge and remove soils to restore habtiats),,,,,,Tribal Resilience Action Database (TRAD),,
,Create nature based wildlife overpass over flood channel,ACCLIMATE (intrinsic),Biological community changes,,,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
,"Plant climate tolerant/adaptive seedlings to stabilize soils (such as wind, drought, saturation resistant)",ACCLIMATE (intrinsic),,Landslides,,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
"Remove barriers blocking habitat formation, migration pathways, natural water flows",,PROTECT (extrinsic),,,,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
,Relocate campsites from high risk locations,PROTECT (extrinsic),,,,,,,,,,,,,,,,,,,Tribal Resilience Action Database (TRAD),,
,,,,,,,,,,,,,,,,,,,,,,,
Light-colored and reflective surfaces,Cool roofs and walls,ACCLIMATE (intrinsic),,Increased average temperature,,SW - Desert,,,,building,MED,"Cool walls are not a widespread technology in the United States, the document notes. Cool roofs may be more feasible.",MID to LONG,Longevity will depend on quality of roof and wall materials.,,"Alterations to roof and walls to accomodate cool roof and walls could significantly impact integrity of materials and workmanship, as well as change the overall apperance of the building.",,,,,2019_Scorched: Extreme Heat and Real Estate,,30
Green infrastructure,Green roof and walls,ACCLIMATE (intrinsic),,Increased average temperature,,SW - Desert,,,,building,MED to HIGH,"Feasibility will depend on available funding, although the document notes that local government incentives for financing may be available.",MID to LONG,"The document notes that green roof and walls are ""high-impact temperature reduction strategy."" Success will depend on local conditions.",,"Alterations to roof and walls would change the overall apperance of the building, but the addition of vegetation to accomplish these goals would not be a permnant change and could be undone (thereby limiting impact to integrity)",,,,,2019_Scorched: Extreme Heat and Real Estate,,31
